doggo_breed
affenpinscher
afghan hound
airedale terrier
akita
alaskan klee kai
alaskan malamute
american bulldog
american english coonhound
american eskimo dog
american foxhound
american pit bull terrier
american staffordshire terrier
american water spaniel
anatolian shepherd dog
appenzeller sennenhunde
australian cattle dog
australian shepherd
australian terrier
azawakh
barbet
basenji
basset hound
beagle
bearded collie
bedlington terrier
belgian malinois
belgian sheepdog
belgian tervuren
berger picard
bernedoodle
bernese mountain dog
bichon frise
black and tan coonhound
black mouth cur
black russian terrier
bloodhound
bluetick coonhound
boerboel
bolognese
border collie
border terrier
borzoi
boston terrier
bouvier des flandres
boxer
boykin spaniel
bracco italiano
briard
brittany
brussels griffon
bull terrier
bulldog
bullmastiff
cairn terrier
canaan dog
cane corso
cardigan welsh corgi
catahoula leopard dog
caucasian shepherd dog
cavalier king charles spaniel
cesky terrier
chesapeake bay retriever
chihuahua
chinese crested
chinese shar-pei
chinook
chow chow
clumber spaniel
cockapoo
cocker spaniel
collie
coton de tulear
curly-coated retriever
dachshund
dalmatian
dandie dinmont terrier
doberman pinscher
dogo argentino
dogue de bordeaux
dutch shepherd
english cocker spaniel
english foxhound
english setter
english springer spaniel
english toy spaniel
entlebucher mountain dog
field spaniel
finnish lapphund
finnish spitz
flat-coated retriever
fox terrier
french bulldog
german pinscher
german shepherd dog
german shorthaired pointer
german wirehaired pointer
giant schnauzer
glen of imaal terrier
goldador
golden retriever
goldendoodle
gordon setter
great dane
great pyrenees
greater swiss mountain dog
greyhound
harrier
havanese
ibizan hound
icelandic sheepdog
irish red and white setter
irish setter
irish terrier
irish water spaniel
irish wolfhound
italian greyhound
jack russell terrier
japanese chin
korean jindo dog
keeshond
kerry blue terrier
komondor
kooikerhondje
kuvasz
labradoodle
labrador retriever
lakeland terrier
lancashire heeler
leonberger
lhasa apso
lowchen
maltese
maltese shih tzu
maltipoo
manchester terrier
mastiff
miniature pinscher
miniature schnauzer
mutt
neapolitan mastiff
newfoundland
norfolk terrier
norwegian buhund
norwegian elkhound
norwegian lundehund
norwich terrier
nova scotia duck trolling retriever
old english sheepdog
otterhound
papillon
peekapoo
pekingese
pembroke welsh corgi
petit basset griffon vendeen
pharaoh hound
plott
pocket beagle
pointer
polish lowland sheepdog
pomeranian
pomsky
poodle
portuguese water dog
pug
puggle
puli
pyrenean shepherd
rat terrier
redbone coonhound
rhodesian ridgeback
rottweiler
saint bernard
saluki
samoyed
schipperke
schnoodle
scottish deerhound
scottish terrier
sealyham terrier
shetland sheepdog
shiba inu
shih tzu
siberian husky
silky terrier
skye terrier
sloughi
small munsterlander pointer
soft coated wheaten terrier
stabyhoun
staffordshire bull terrier
standard schnauzer
sussex spaniel
swedish vallhund
tibetan mastiff
tibetan spaniel
tibetan terrier
toy fox terrier
treeing tennessee brindle
treeing walker coonhound
vizsla
weimaraner
welsh springer spaniel
welsh terrier
west highland white terrier
whippet
wirehaired pointing griffon
xoloitzcuintli
yorkipoo
yorkshire terrier
